ACTA,FILE_NAME,HASH_FILE_TSE,DATE_TIME,URL_TYPE,URL
198,not_found,Not Found,2024-02-21T14:02:56.315967,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/198
1989,missing_uno_1989.jpeg,942b94052ed7449a4342a20e379d72aa1d5178777d21936e5765457c8f1c6bcc,2024-02-21T14:02:58.266364,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1989
1991,missing_uno_1991.jpeg,ee6dfcc69042c1a5a767cc5591b41d1cb927c05463f65e0876e7e37cf1b772e5,2024-02-21T14:03:00.169169,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1991
1995,missing_uno_1995.jpeg,4bbf3ba6d68eda2d46210d71c8fd67972115c763c6ab7f7743e1b2b70f00277a,2024-02-21T14:03:02.316728,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1995
1999,missing_uno_1999.jpeg,0030940ed921e17d54858963a2108273100b86ac8272f024a44f92a0d0b842f5,2024-02-21T14:03:04.378152,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/1999
2,not_found,Not Found,2024-02-21T14:03:04.835591,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2
2002,missing_uno_2002.jpeg,12b0d593f4a26deaf766b10b236a86cc052d7e9a2dc0bc0ce09d694bcff8ab42,2024-02-21T14:03:06.763907,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2002
2009,missing_uno_2009.jpeg,371e53a9ebde027cc74e5b56002121bf80cb31f50050a1b29d172ba8be2d584e,2024-02-21T14:03:08.808597,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2009
201,not_found,Not Found,2024-02-21T14:03:09.202330,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/201
2011,missing_uno_2011.jpeg,22f958fd47aabf6e29087b3119ebd8aa8b9d2a557f332d790372187d7112a8e9,2024-02-21T14:03:11.111932,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2011
2013,missing_uno_2013.jpeg,ac30df86b2138f0c99c8adf879cf2ae1ce8747de891270a65d456918b634bc94,2024-02-21T14:03:12.987788,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2013
